ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC
13,Hidalgo,48,Pachuca de Soto,0,Total del municipio,0,0,314331,164772,149559,10953,5444,5509,301144,158208,142936,292136,153820,138316,261324,138640,122684,247140,131518,115622,231928,123907,108021,13716,6735,6981,26104,12833,13271,31884,15782,16102,14184,7122,7062,15212,7611,7601,37273,18458,18815,87165,42791,23920,18871,90.77,64957,218928,28212,1.73,236927,123724,113203,72611,38694,33917,270900,143900,127000,17798,9111,8687,10168,5260,4908,89,62,27,9970,5162,4808,10121,89,9925,25116,6204,3228,2976,15372,6857,7021,1861,3432,2684,2724,42355,12350,26893,2055,8961,1807,9049,4138,252408,4393,2158,2235,587,280,307,555,262,293,12733,6515,6218,18414,9284,9130,397,168,229,4999,3313,1686,5857,3651,2206,9658,5532,4126,20749,11510,9239,5863,2606,3257,50555,25734,24821,145260,77217,68043,11.52,11.44,11.62,166559,76475,90084,94224,61882,32342,163010,75178,87832,3549,1297,2252,99443,212342,110398,45956,1825,2372,44792,1031,6492,4245,95449,130267,35389,227832,38295,1092,44279,93242,34788,58454,311788,106143,205645,124339,93277,116845,85783,93141,93242,20201,10861,311788,3.34,0.75,91656,788,19693,72761,2563,7360,82533,92284,175,90722,88483,1737,83111,35136,91923,314,92209,243,90549,33,92013,38341,228,84741,70678,53728,52408,6453,15019,69807,88026,51622,44683,87562,62466,49784,26104,15753,2019,2481,24736,357
13,Hidalgo,48,Pachuca de Soto,1,Total de la localidad urbana,0,0,297848,156299,141549,10190,5052,5138,285443,150137,135306,277064,146081,130983,248328,131942,116386,235069,125271,109798,220846,118143,102703,12787,6244,6543,24328,11951,12377,29786,14774,15012,13259,6671,6588,14223,7128,7095,35312,17487,17825,82533,41307,23145,18162,90.56,60564,207825,27244,1.72,223979,117113,106866,69187,36891,32296,256775,136620,120155,16929,8673,8256,9387,4852,4535,81,55,26,9218,4771,4447,9355,81,9187,23246,5985,3113,2872,14381,6440,6547,1760,3209,2538,2557,39854,11669,25284,1919,8477,1712,8533,3906,239563,4048,1974,2074,554,263,291,509,239,270,12004,6144,5860,17757,8944,8813,364,157,207,4528,3005,1523,5343,3354,1989,8730,5043,3687,19178,10717,8461,5347,2394,2953,46612,23721,22891,141142,75031,66111,11.64,11.55,11.75,158191,72976,85215,89643,58708,30935,154809,71728,83081,3382,1248,2134,92418,202942,106422,44908,1794,2302,40684,1000,6420,4092,91178,123066,33887,215337,36297,1033,42413,88876,33406,55470,295310,101327,193983,118255,88910,111033,81688,88778,88876,18919,10426,295310,3.32,0.74,87415,669,18300,69794,2327,6649,79120,87986,113,87018,85747,1081,79349,33768,87798,180,87972,121,86910,13,87847,36110,201,81208,67918,52277,50383,6136,14439,66495,84021,50319,44131,83532,60972,48374,25749,15405,1867,2211,22241,320
13,Hidalgo,48,Pachuca de Soto,1,Total AGEB urbana,004A,0,2436,1283,1153,36,19,17,2400,1264,1136,2366,1255,1111,2217,1186,1031,2130,1143,987,2026,1094,932,59,24,35,124,54,70,179,83,96,87,43,44,104,49,55,204,89,115,534,690,409,281,89.87,306,1633,497,1.75,2116,1110,1006,309,167,142,2285,1213,1072,75,40,35,24,14,10,0,0,0,24,14,10,24,0,24,50,103,61,42,160,80,63,22,43,26,25,480,146,317,15,117,18,83,33,1786,17,*,15,5,0,5,0,0,0,94,44,50,121,62,59,4,*,*,32,16,16,34,17,17,60,39,21,162,100,62,51,23,28,272,140,132,1468,776,692,12.52,12.32,12.75,1314,632,682,898,551,347,1289,624,665,25,8,17,657,1779,1047,515,5,22,175,4,48,16,869,928,420,1767,322,8,337,821,381,440,2414,1093,1321,1027,822,941,736,820,821,163,42,2414,2.94,0.58,815,*,174,646,11,42,767,820,0,819,818,*,805,317,820,0,820,0,819,0,820,318,*,791,656,532,485,56,94,649,789,526,525,767,614,544,239,143,10,18,166,3
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,1,64,33,31,*,*,*,62,32,30,60,31,29,52,29,23,50,27,23,47,26,21,*,*,*,8,*,6,9,4,5,*,*,0,3,*,*,4,3,*,14,15,9,6,93.94,14,36,14,1.48,62,32,30,*,*,*,59,31,28,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,*,3,0,*,0,0,11,4,6,*,*,0,0,*,47,*,0,*,0,0,0,0,0,0,3,*,*,3,3,0,0,0,0,0,0,0,0,0,0,*,*,0,3,*,*,*,0,*,6,*,5,36,23,13,13.2,14.04,12.22,36,18,18,15,11,4,36,18,18,0,0,0,13,51,33,19,0,0,0,0,0,0,19,22,11,55,3,0,6,22,11,11,64,34,30,31,22,29,20,22,22,6,3,64,2.91,0.62,22,0,6,16,0,*,20,22,0,22,22,0,22,3,22,0,22,0,22,0,22,9,0,20,19,11,13,*,*,16,22,14,12,22,15,15,6,5,0,0,4,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,2,99,51,48,*,0,*,98,51,47,96,49,47,93,48,45,91,47,44,87,44,43,*,*,0,3,*,*,5,*,3,*,*,*,4,3,*,7,*,6,20,37,21,16,94.12,8,63,28,1.79,93,50,43,6,*,5,95,48,47,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,8,4,5,0,3,3,3,33,9,22,0,7,0,8,0,58,0,0,0,0,0,0,0,0,0,4,3,*,3,*,*,0,0,0,*,*,0,*,*,0,3,*,*,9,7,*,4,0,4,9,5,4,63,30,33,12.42,11.98,12.89,60,26,34,33,22,11,59,26,33,*,0,*,23,76,48,13,0,0,13,0,5,*,38,29,26,81,9,0,9,40,22,18,99,57,42,49,40,46,37,40,40,8,*,99,2.48,0.47,40,0,11,29,0,*,38,40,0,40,40,0,40,13,40,0,40,0,40,0,40,15,0,37,36,26,24,*,6,35,39,24,26,38,28,28,9,4,0,*,7,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,3,50,24,26,*,*,0,49,23,26,47,23,24,42,21,21,39,20,19,38,19,19,4,0,4,3,*,*,6,3,3,3,*,*,*,*,0,3,3,0,13,14,6,8,108.33,11,29,10,1.76,48,22,26,*,*,0,47,23,24,0,0,0,*,*,0,0,0,0,*,*,0,*,0,*,4,0,0,0,4,*,*,*,0,0,0,19,6,14,0,5,*,5,*,27,*,0,*,0,0,0,0,0,0,*,*,0,*,*,0,0,0,0,0,0,0,*,0,*,5,*,4,*,*,*,0,0,0,5,3,*,25,14,11,11.72,12.7,10.68,26,13,13,16,8,8,26,13,13,0,0,0,13,37,25,5,0,3,5,0,0,0,16,18,8,35,12,0,3,14,4,10,50,11,39,27,14,27,14,14,14,11,*,50,3.57,0.75,14,0,4,10,*,*,11,14,0,14,14,0,12,5,14,0,14,0,14,0,14,8,0,12,9,6,6,0,3,10,11,6,5,12,5,8,3,*,*,*,8,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,4,82,47,35,*,*,*,80,46,34,78,45,33,76,43,33,75,43,32,74,42,32,3,*,*,*,*,0,*,*,*,*,0,*,*,*,0,12,8,4,22,28,16,12,74.47,7,52,23,1.67,70,41,29,12,6,6,75,44,31,3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,3,*,*,3,9,4,*,*,*,0,*,*,64,*,*,0,0,0,0,0,0,0,0,0,0,11,8,3,0,0,0,*,0,*,*,0,*,0,0,0,7,7,0,*,*,0,12,6,6,53,29,24,12.56,12.49,12.66,37,17,20,39,26,13,36,17,19,*,0,*,24,58,36,14,0,0,9,0,0,0,28,33,15,63,6,*,12,31,14,17,82,33,49,39,31,38,30,31,31,7,*,82,2.65,0.54,31,0,6,25,*,*,29,31,0,31,31,0,31,9,31,0,31,0,31,0,31,16,0,30,22,19,15,*,3,26,29,19,18,27,22,17,7,3,*,3,9,*
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,5,115,58,57,0,0,0,115,58,57,114,58,56,103,51,52,98,47,51,97,47,50,3,*,*,9,6,3,12,9,3,5,4,*,*,0,*,10,4,6,24,32,13,19,98.28,17,75,23,1.39,103,49,54,12,9,3,112,58,54,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,8,5,*,0,*,0,*,11,7,3,*,*,*,4,*,96,*,0,*,0,0,0,0,0,0,*,0,*,6,*,4,*,*,0,0,0,0,0,0,0,4,3,*,6,*,4,*,0,*,11,5,6,73,36,37,12.39,12.4,12.37,66,30,36,36,20,16,63,27,36,3,3,0,27,88,63,19,*,0,4,0,3,0,31,58,14,83,14,0,18,44,12,32,115,28,87,48,44,46,42,44,44,4,0,115,2.61,0.58,44,0,12,32,0,6,38,44,0,44,44,0,44,14,44,0,44,0,44,0,44,22,0,43,34,28,20,5,6,27,41,25,27,38,30,27,17,6,*,3,13,*
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,6,84,42,42,0,0,0,84,42,42,82,40,42,79,39,40,78,39,39,77,39,38,4,3,*,*,0,*,*,0,*,*,0,*,*,0,*,7,4,3,17,29,14,15,100,6,56,22,1.59,76,39,37,8,3,5,82,40,42,0,0,0,*,*,0,0,0,0,*,*,0,*,0,*,*,*,*,*,7,*,5,*,3,0,0,11,5,6,0,4,0,*,*,65,0,0,0,0,0,0,0,0,0,*,0,*,5,4,*,0,0,0,0,0,0,*,*,0,*,*,0,6,*,4,*,0,*,10,4,6,58,30,28,12.72,12.82,12.62,54,25,29,25,14,11,51,25,26,3,0,3,20,64,34,18,0,0,15,0,0,0,25,37,17,72,5,0,7,32,12,20,84,37,47,41,32,40,31,32,32,8,*,84,2.63,0.52,31,*,7,25,0,*,31,32,0,32,32,0,32,16,32,0,32,0,32,0,32,14,0,30,26,26,17,*,4,21,31,19,17,26,23,21,9,6,*,*,7,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,7,104,57,47,*,*,0,103,56,47,103,56,47,94,54,40,87,50,37,83,48,35,0,0,0,9,*,7,11,5,6,7,4,3,4,*,*,16,5,11,28,23,16,7,82.46,17,71,16,1.78,84,46,38,20,11,9,91,53,38,12,3,9,*,*,0,0,0,0,*,*,0,*,0,*,0,4,3,*,8,*,4,0,*,*,*,23,6,16,*,5,0,*,*,73,0,0,0,0,0,0,0,0,0,4,*,*,11,3,8,0,0,0,*,*,*,*,0,*,3,*,*,7,4,3,3,*,*,11,5,6,58,34,24,12.26,12.5,11.95,50,31,19,43,23,20,48,29,19,*,*,0,30,74,48,22,0,5,*,0,0,0,47,37,10,79,17,0,8,31,13,18,104,40,64,39,31,38,30,31,31,6,*,104,3.35,0.66,31,0,3,28,0,0,31,31,0,31,31,0,30,16,31,0,31,0,31,0,31,12,0,28,20,12,19,*,3,27,29,24,26,29,22,21,10,5,0,*,7,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,8,105,60,45,3,*,*,102,59,43,102,59,43,95,54,41,91,53,38,85,51,34,0,0,0,7,5,*,8,4,4,4,*,3,6,*,4,9,4,5,24,25,18,7,75,14,72,19,1.74,82,44,38,23,16,7,99,56,43,3,3,0,*,0,*,0,0,0,*,0,*,*,0,*,3,*,*,0,7,3,3,3,*,*,*,21,7,17,0,5,0,6,0,77,0,0,0,0,0,0,0,0,0,5,*,3,4,3,*,0,0,0,3,*,*,3,*,*,3,*,*,4,4,0,4,3,*,17,7,10,55,35,20,11.68,12,11.24,54,30,24,41,24,17,54,30,24,0,0,0,35,70,31,26,0,0,9,0,5,*,34,45,16,79,3,0,23,35,21,14,105,68,37,48,35,44,31,34,35,13,0,105,3,0.65,34,0,13,21,3,3,28,34,0,34,34,0,34,13,34,0,34,0,34,0,34,17,0,34,23,20,17,*,6,24,34,22,17,33,24,19,7,7,0,*,10,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,9,107,50,57,*,0,*,106,50,56,103,50,53,100,47,53,93,45,48,82,39,43,4,*,3,*,*,0,8,3,5,7,*,5,11,6,5,8,4,4,21,23,16,7,114,14,79,14,1.83,88,40,48,16,9,7,100,49,51,3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,7,3,3,*,0,*,*,17,*,14,0,4,0,4,5,81,*,0,*,0,0,0,0,0,0,10,6,4,3,*,*,0,0,0,*,*,*,*,*,*,*,*,0,4,*,3,*,*,*,15,7,8,63,30,33,12.74,12.42,13.04,65,27,38,35,20,15,62,27,35,3,0,3,28,79,44,27,0,*,4,0,3,0,43,27,30,74,11,3,19,36,18,18,107,54,53,44,36,39,31,36,36,5,3,107,2.97,0.57,36,0,6,30,*,*,34,36,0,36,36,0,36,13,36,0,36,0,36,0,36,14,0,35,29,24,22,*,3,33,35,26,25,33,31,25,11,7,0,0,4,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,10,121,56,65,*,*,0,120,55,65,117,55,62,112,53,59,108,52,56,99,51,48,3,0,3,5,*,3,8,*,6,4,*,3,9,*,8,7,*,6,23,31,19,12,116.07,13,86,22,1.98,109,49,60,12,7,5,117,55,62,0,0,0,*,*,0,0,0,0,*,*,0,*,0,*,*,3,*,*,9,5,4,*,*,*,*,26,9,23,0,4,0,4,0,86,3,0,3,0,0,0,0,0,0,6,0,6,3,*,*,0,0,0,*,*,0,*,*,0,6,5,*,4,*,*,5,*,4,22,10,12,62,30,32,11.89,11.73,12.04,64,28,36,48,25,23,60,28,32,4,0,4,39,82,49,17,0,0,18,0,0,*,43,48,21,93,8,0,19,37,14,23,121,53,68,48,37,40,29,37,37,6,5,121,3.27,0.66,37,0,13,24,0,3,34,37,0,37,37,0,35,13,37,0,37,0,37,0,37,11,0,36,28,26,26,4,8,32,35,24,24,34,27,21,7,5,0,0,7,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,13,109,60,49,4,4,0,105,56,49,104,56,48,97,51,46,94,50,44,92,49,43,*,*,*,6,4,*,9,5,4,3,*,*,*,*,*,12,5,7,24,33,18,15,81.67,15,68,26,1.94,96,50,46,13,10,3,103,55,48,*,*,0,*,*,0,0,0,0,*,*,0,*,0,*,*,4,*,*,5,3,*,0,*,*,0,14,5,10,*,6,3,4,*,89,*,0,*,0,0,0,0,0,0,*,0,*,6,*,4,*,0,*,*,*,0,*,*,0,*,*,*,16,11,5,*,0,*,9,6,3,63,30,33,11.7,11.14,12.34,57,26,31,38,23,15,57,26,31,0,0,0,27,82,45,31,0,0,7,0,0,0,33,45,19,80,12,0,17,36,15,21,109,48,61,47,36,37,26,36,36,8,3,109,3.03,0.67,36,0,9,27,0,*,35,36,0,36,36,0,35,11,36,0,36,0,36,0,36,14,0,35,28,24,21,3,*,28,34,20,21,32,24,19,5,5,*,*,10,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,14,138,76,62,4,*,3,134,75,59,133,74,59,125,72,53,121,68,53,115,64,51,3,*,*,6,*,5,8,5,3,4,4,0,6,4,*,10,5,5,37,40,19,21,81.58,17,91,30,1.63,119,68,51,18,7,11,131,73,58,*,*,*,4,*,3,0,0,0,4,*,3,4,0,4,11,*,0,*,6,*,5,0,3,0,0,22,9,12,0,5,*,*,0,110,0,0,0,0,0,0,0,0,0,5,3,*,3,3,0,0,0,0,3,*,*,*,*,0,3,*,*,13,5,8,*,0,*,18,8,10,80,49,31,12.24,12.53,11.87,71,38,33,54,34,20,71,38,33,0,0,0,34,104,71,28,*,*,6,0,*,*,48,54,23,95,30,0,13,45,19,26,138,47,91,62,45,54,37,45,45,11,6,138,3.07,0.62,45,0,15,30,3,*,40,45,0,45,45,0,43,11,45,0,45,0,45,0,45,22,*,42,36,27,21,3,4,34,42,27,25,41,30,28,8,5,*,*,14,*
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,15,113,60,53,0,0,0,113,60,53,111,60,51,103,54,49,101,54,47,100,53,47,4,*,*,6,4,*,8,4,4,*,0,*,*,*,0,7,5,*,24,38,21,17,88.33,12,69,32,1.81,100,52,48,12,8,4,110,60,50,*,0,*,4,3,*,0,0,0,4,3,*,4,0,4,3,4,*,*,14,8,4,*,5,*,0,34,7,24,*,4,3,4,*,65,*,0,*,0,0,0,0,0,0,*,*,0,6,4,*,0,0,0,3,*,*,4,*,*,6,5,*,11,6,5,0,0,0,9,6,3,71,35,36,12.2,11.63,12.85,59,28,31,44,26,18,58,28,30,*,0,*,27,86,59,27,*,0,7,0,0,0,47,41,15,105,4,0,4,34,15,19,113,42,71,44,34,43,33,34,34,10,0,113,3.32,0.66,34,0,5,29,0,*,33,34,0,34,34,0,33,12,34,0,34,0,34,0,34,12,0,34,27,23,20,3,3,29,34,21,23,30,27,26,6,5,0,0,6,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,16,158,78,80,*,*,*,156,77,79,154,76,78,146,73,73,138,68,70,133,66,67,3,*,*,7,*,5,12,6,6,8,5,3,5,*,3,17,7,10,22,47,33,14,102.56,20,106,32,1.92,152,74,78,6,4,*,153,76,77,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,4,4,3,4,3,4,38,15,24,*,12,*,11,3,110,*,0,*,*,0,*,0,0,0,5,*,3,10,4,6,*,0,*,5,*,3,6,3,3,8,5,3,14,8,6,*,*,0,13,9,4,87,36,51,11.53,10.53,12.52,88,32,56,58,41,17,86,30,56,*,*,0,32,126,59,30,0,0,25,*,13,0,58,62,26,115,25,3,15,47,26,21,158,85,73,49,47,42,40,47,47,*,*,158,3.36,0.67,47,0,5,42,*,*,44,47,0,47,46,0,45,17,47,0,47,0,47,0,47,23,0,44,34,24,23,3,3,30,47,23,29,45,36,37,11,8,0,0,10,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,17,66,32,34,*,0,*,65,32,33,65,32,33,59,30,29,57,30,27,54,28,26,*,0,*,5,*,3,7,*,5,*,0,*,3,*,*,5,*,4,13,15,10,5,106.25,9,49,8,1.57,62,30,32,4,*,*,64,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,*,*,0,*,0,11,3,7,*,*,0,0,3,51,0,0,0,0,0,0,0,0,0,3,*,*,4,*,3,0,0,0,*,0,*,*,0,*,0,0,0,*,0,*,0,0,0,5,4,*,48,26,22,13.56,13.8,13.3,31,16,15,28,14,14,28,16,12,3,0,3,38,28,17,5,0,4,*,0,*,0,25,22,12,40,8,*,17,24,14,10,66,41,25,26,24,22,20,24,24,*,0,66,2.75,0.49,24,0,6,18,0,*,23,24,0,24,24,0,24,4,24,0,24,0,24,0,24,10,0,24,19,14,13,3,4,14,23,13,12,23,17,17,8,4,0,0,5,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,18,145,75,70,*,*,0,143,73,70,143,73,70,128,66,62,124,66,58,120,64,56,3,*,*,12,6,6,11,4,7,4,0,4,4,*,*,13,4,9,25,38,22,16,93.33,21,100,24,1.94,133,71,62,12,4,8,135,69,66,7,3,4,3,*,*,0,0,0,3,*,*,3,0,3,15,3,*,*,12,6,3,*,4,*,0,56,8,46,3,10,*,10,*,77,0,0,0,0,0,0,0,0,0,4,*,*,3,0,3,0,0,0,*,*,*,*,*,*,*,0,*,12,10,*,4,*,3,31,15,16,69,35,34,11.65,11.12,12.26,77,34,43,51,32,19,77,34,43,0,0,0,40,105,62,14,0,*,27,*,0,0,49,51,28,96,24,0,25,42,21,21,145,73,72,51,42,45,36,42,42,8,*,145,3.45,0.63,42,0,7,35,0,*,40,42,0,41,41,*,40,12,42,0,42,0,41,0,42,20,0,41,35,28,21,3,10,36,42,26,28,42,29,29,10,4,0,0,9,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,19,70,43,27,*,0,*,69,43,26,68,43,25,60,39,21,60,39,21,55,37,18,*,0,*,8,4,4,6,*,4,0,0,0,5,*,3,6,3,3,19,19,16,3,62.79,10,46,14,2.49,64,39,25,6,4,*,64,40,24,4,3,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,*,3,*,4,3,12,3,7,0,4,0,5,*,52,*,0,*,*,0,*,0,0,0,5,*,3,3,*,*,0,0,0,*,*,0,*,*,0,6,5,*,7,6,*,*,0,*,8,4,4,33,21,12,11.24,10.92,11.81,33,16,17,27,23,4,31,15,16,*,*,*,8,62,43,13,0,0,6,0,0,0,22,22,16,37,19,0,14,24,19,5,70,60,10,25,24,24,23,24,24,*,0,70,2.92,0.6,24,0,*,22,0,*,23,24,0,24,24,0,24,3,24,0,24,0,24,0,24,12,0,23,20,10,12,*,0,19,22,13,11,23,14,9,*,4,*,0,7,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,20,101,50,51,3,*,*,98,49,49,95,48,47,88,46,42,83,45,38,76,43,33,3,*,*,7,*,5,10,*,8,5,*,4,7,*,5,5,*,4,24,26,17,9,102,18,65,18,1.72,86,44,42,15,6,9,92,46,46,3,*,*,*,0,*,0,0,0,*,0,*,*,0,*,*,11,8,3,*,0,0,0,*,0,0,6,5,*,0,*,0,0,*,93,*,0,*,0,0,0,0,0,0,7,*,5,5,*,4,0,0,0,0,0,0,*,*,0,0,0,0,4,3,*,*,0,*,5,*,4,65,37,28,13.66,13.56,13.79,48,26,22,40,20,20,48,26,22,0,0,0,20,81,35,38,0,3,4,0,0,*,39,36,13,74,14,0,13,39,14,25,101,32,69,41,39,38,36,39,39,*,*,101,2.59,0.55,39,0,11,28,*,3,35,39,0,39,39,0,39,14,39,0,39,0,39,0,39,14,0,39,29,29,24,*,*,33,36,30,23,39,34,25,22,7,*,0,5,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,21,128,79,49,*,*,0,127,78,49,125,78,47,119,77,42,118,77,41,111,72,39,5,*,4,3,0,3,*,0,*,*,0,*,7,5,*,11,6,5,38,37,24,13,62.03,10,94,24,1.61,117,74,43,11,5,6,121,76,45,4,*,*,*,*,0,0,0,0,*,*,0,*,0,*,*,27,15,12,8,7,*,0,*,0,*,24,8,15,*,5,0,4,*,96,*,0,*,0,0,0,0,0,0,6,5,*,4,4,0,0,0,0,0,0,0,*,*,0,0,0,0,13,7,6,*,*,0,14,10,4,82,52,30,12.58,12.68,12.41,80,47,33,39,30,9,80,47,33,0,0,0,31,97,53,40,0,*,0,0,*,3,47,46,26,102,12,0,14,47,28,19,128,73,55,61,47,57,43,47,47,10,4,128,2.72,0.57,47,0,8,39,0,*,45,47,0,47,47,0,46,16,47,0,47,0,47,0,47,19,0,46,40,31,26,4,0,42,44,31,32,46,36,34,18,8,0,*,10,0
13,Hidalgo,48,Pachuca de Soto,1,Pachuca de Soto,004A,22,40,25,15,*,*,*,38,24,14,38,24,14,34,22,12,33,21,12,33,21,12,*,*,0,3,*,*,*,*,*,*,*,0,0,0,0,3,3,0,11,11,6,5,60,7,24,9,1.59,33,20,13,7,5,*,38,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,0,0,3,0,3,0,*,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,*,0,*,3,*,*,0,0,0,6,4,*,23,15,8,12.48,12.57,12.33,23,13,10,11,9,*,23,13,10,0,0,0,7,33,15,14,0,0,4,0,0,0,9,16,9,17,9,0,14,12,6,6,40,26,14,13,12,13,12,12,12,*,0,40,3.33,0.6,12,0,*,10,0,*,10,12,0,12,12,0,12,6,12,0,12,0,12,0,12,*,0,12,10,11,10,*,3,8,12,8,8,11,9,9,5,*,0,0,*,0
